 10,0.543648
 20,0.542889
 30,0.542160
 40,0.541456
 50,0.540777
 60,0.540121
 70,0.539488
 80,0.538877
 90,0.538286
 100,0.537716
 110,0.537164
 120,0.536630
 130,0.536113
 140,0.535613
 150,0.535129
 160,0.534660
 170,0.534204
 180,0.533762
 190,0.533332
 200,0.532912
 210,0.532502
 220,0.532101
 230,0.531706
 240,0.531317
 250,0.530930
 260,0.530546
 270,0.530160
 280,0.529770
 290,0.529375
 300,0.528969
 310,0.528551
 320,0.528115
 330,0.527656
 340,0.527169
 350,0.526649
 360,0.526086
 370,0.525473
 380,0.524800
 390,0.524056
 400,0.523227
 410,0.522300
 420,0.521257
 430,0.520079
 440,0.518746
 450,0.517234
 460,0.515516
 470,0.513564
 480,0.511345
 490,0.508825
 500,0.505966
 510,0.502728
 520,0.499069
 530,0.494951
 540,0.490340
 550,0.485213
 560,0.479564
 570,0.473412
 580,0.466804
 590,0.459819
 600,0.452563
 610,0.445157
 620,0.437729
 630,0.430394
 640,0.423252
 650,0.416371
 660,0.409795
 670,0.403540
 680,0.397598
 690,0.391947
 700,0.386552
 710,0.381371
 720,0.376356
 730,0.371455
 740,0.366615
 750,0.361783
 760,0.356900
 770,0.351907
 780,0.346740
 790,0.341330
 800,0.335600
 810,0.329466
 820,0.322833
 830,0.315594
 840,0.307635
 850,0.298840
 860,0.289099
 870,0.278329
 880,0.266487
 890,0.253588
 900,0.239718
 910,0.225034
 920,0.209764
 930,0.194197
 940,0.178661
 950,0.163490
 960,0.148986
 970,0.135386
 980,0.122849
 990,0.111449
 1000,0.101193
 1010,0.092037
 1020,0.083904
 1030,0.076702
 1040,0.070330
 1050,0.064693
 1060,0.059698
 1070,0.055266
 1080,0.051322
